,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,3,0,0.6,681,0.01,0.07,0.06,0.13,190,0,0,0.9,0.6,2023-01-04T19:30:00Z,19,17,0,0,0,0,19,0,272,0,1,0,8.0,1,255,265,10,50,False,0,3,608
1,0,0,7,0,1.4,681,0.01,0.07,0.06,1.02,198,0,0,1.8,5.2,2023-01-14T15:00:00Z,54,10,0,0,0,0,20,0,879,1,0,2,11.0,1,531,606,75,50,True,0,3,608
2,0,0,1,0,14.6,681,0.02,0.05,0.03,0.39,202,0,0,2.2,6.6,2023-01-21T15:00:00Z,30,3,0,0,0,0,21,0,1141,0,1,1,1.0,0,220,412,192,50,False,1,3,608
3,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,1276,0,0,1,0.0,0,64,434,370,50,True,0,3,608
4,0,0,-1,0,0.4,681,0.0,0.07,0.07,1.2,224,1,0,0.3,0.0,2023-02-11T15:00:00Z,55,9,0,0,0,0,23,0,1116,1,0,2,3.0,1,-177,124,301,50,False,0,3,608
5,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,1046,0,1,1,0.0,0,-115,36,151,50,True,0,3,608
6,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,961,0,0,4,0.0,0,-100,43,143,49,False,0,3,608
7,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,879,0,2,2,0.0,0,-108,8,116,48,True,0,3,608
8,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,778,0,1,3,0.0,0,-116,9,125,47,False,0,3,608
9,0,0,2,0,0.0,681,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,1,15,0,0,0,0,28,0,803,0,2,1,0.0,1,0,72,72,47,True,0,3,608
10,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,738,0,1,1,0.0,0,-69,17,86,47,True,0,3,608
