,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,5543,0,1,4,0.0,0,0,0,0,45,False,0,3
1,1,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,5063,0,0,3,0.0,0,-644,146,790,45,False,0,3
2,2,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,4745,0,2,1,0.0,0,-457,167,624,44,True,0,3
3,3,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,10,0,0,0,0,5,0,4203,0,0,1,0.0,0,-644,250,894,44,False,0,3
4,4,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,20,0,0,0,0,6,0,3728,0,1,1,0.0,0,-484,0,484,44,True,0,3
5,5,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,9,0,0,0,0,7,0,3333,0,2,1,0.0,0,-391,0,391,44,False,0,3
6,6,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,6,0,0,0,0,7,0,3333,0,2,1,0.0,0,-391,0,391,44,True,0,3
7,7,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,18,0,0,0,0,8,0,3095,0,1,0,0.0,0,-241,0,241,44,True,0,3
8,8,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,2920,0,2,2,0.0,0,-183,0,183,44,False,0,3
9,9,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,2,0,0,0,0,10,0,2792,0,1,3,0.0,0,-128,0,128,44,False,0,3
