,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,24,0,21.5,663,0.12,0.14,0.02,1.36,17,2,1,7.7,42.8,2023-08-18T18:45:00Z,90,16,0,0,0,0,2,0,1826,1,1,2,13.0,6,1419,1474,55,50,False,1,3
1,1,0,0,9,0,10.6,663,0.02,0.16,0.14,3.52,30,2,0,2.3,6.0,2023-08-27T13:00:00Z,90,13,0,0,0,0,3,0,10260,1,2,1,6.0,2,5450,6568,1118,50,True,0,3
2,2,0,0,15,0,27.8,663,0.09,0.35,0.26,2.59,40,2,0,6.6,14.6,2023-09-02T11:30:00Z,90,9,0,0,0,0,4,0,14791,1,2,2,24.0,2,3715,5413,1698,50,True,0,3
3,3,0,2,31,1,40.7,663,0.19,0.27,0.08,1.32,48,0,1,10.7,49.4,2023-09-16T14:00:00Z,80,18,0,0,0,0,5,0,12805,1,1,2,17.0,10,-2168,1359,3527,50,False,0,3
4,4,0,0,5,0,10.8,663,0.0,0.1,0.1,2.45,60,5,0,2.2,2.0,2023-09-24T15:30:00Z,65,15,0,0,0,0,6,0,27285,1,8,0,9.0,2,12875,15181,2306,50,True,0,3
5,5,0,0,15,0,47.8,663,0.25,0.3,0.05,1.67,69,2,0,6.8,11.4,2023-09-30T14:00:00Z,78,19,0,0,0,0,7,0,26848,1,0,2,9.0,2,20,4733,4713,50,False,0,3
6,6,0,0,8,0,5.3,663,0.03,0.05,0.02,1.75,76,1,0,1.5,6.2,2023-10-07T14:00:00Z,65,10,0,0,0,0,8,0,32306,1,1,3,3.0,2,4358,8412,4054,50,False,0,3
7,7,0,0,1,0,2.5,663,0.1,0.14,0.04,0.98,89,2,0,1.0,2.6,2023-10-21T19:00:00Z,83,14,0,0,0,0,9,0,29942,1,2,1,5.0,2,-2280,2320,4600,50,True,0,3
8,8,0,0,4,0,10.6,663,0.0,0.01,0.01,1.5,91,3,0,2.5,10.6,2023-10-28T14:00:00Z,82,1,0,0,0,0,10,0,26777,1,0,5,4.0,2,-3202,862,4064,50,False,0,3
9,9,0,0,6,0,13.1,663,0.05,0.08,0.03,1.33,109,1,0,1.6,0.0,2023-11-04T15:00:00Z,89,20,0,0,0,0,11,0,25305,1,1,2,3.0,1,-1617,1148,2765,50,True,1,3
