,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,259,0.0,0,0,0.0,14793.0,0.0,0.0,2018-02-05T20:00:00Z,05 Feb 20:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,26,0,759,0.0,0.0,0.0,1,4,0.0,0,703,943,240,55,False,0.0,0,,,,,,2,717
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,261,0.0,0,0,0.0,15418.0,0.0,0.0,2018-02-12T20:00:00Z,12 Feb 20:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,27,0,1203,0.0,0.0,0.0,0,3,0.0,0,365,616,251,55,True,0.0,0,,,,,,2,717
2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,278,0.0,0,0,0.0,16045.0,0.0,0.0,2018-02-25T14:05:00Z,25 Feb 14:05,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,28,0,1138,0.0,0.0,0.0,1,2,0.0,0,-189,227,416,55,False,0.0,0,,,,,,2,717
3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,286,1.0,0,0,0.0,16675.0,0.0,0.0,2018-03-04T16:00:00Z,04 Mar 16:00,0.0,0.0,8,0.0,0.0,11,0,0.0,0,0,0.0,0,29,0,968,0.0,0.0,0.0,0,1,0.0,1,-192,51,243,54,False,0.0,0,,,,,,2,717
4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,293,0.0,0,0,0.0,17308.0,0.0,0.0,2018-03-10T17:30:00Z,10 Mar 17:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,30,0,945,0.0,0.0,0.0,1,2,0.0,0,-41,88,129,53,True,0.0,0,,,,,,2,717
5,0,7.0,0.0,0.0,0,5,0,0.0,6.0,0.5,0.0,0.0,614,0.0,0.0,313,0.0,0,0,0.5,18209.0,2.6,0.0,2018-04-01T15:00:00Z,01 Apr 16:00,0.0,0.0,7,0.0,0.0,17,0,0.0,0,0,0.0,0,32,0,899,0.0,1.0,0.0,3,1,2.0,1,-48,60,108,52,True,0.0,0,,,,,,2,717
6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,324,0.0,0,0,0.0,18846.0,0.0,0.0,2018-04-08T15:30:00Z,08 Apr 16:30,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,33,0,927,0.0,0.0,0.0,1,1,0.0,0,-4,64,68,52,True,0.0,0,,,,,,2,717
7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614,0.0,0.0,337,0.0,0,0,0.0,19716.0,0.0,0.0,2018-04-14T11:30:00Z,14 Apr 12:30,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,34,0,920,0.0,0.0,0.0,3,2,0.0,0,-30,42,72,52,False,0.0,0,,,,,,2,717
8,1,39.0,0.0,0.0,0,21,0,1.0,30.0,17.4,1.0,0.0,614,0.0,0.0,302,1.0,1,0,6.2,19715.0,25.2,1.0,2018-04-19T18:45:00Z,19 Apr 19:45,0.0,0.0,83,0.0,1.0,4,0,0.0,0,0,3.0,0,34,0,920,1.0,1.0,0.0,2,1,19.0,5,-30,42,72,52,False,0.0,0,,,,,,2,717
9,0,31.0,0.0,0.0,0,26,1,9.0,25.0,2.2,2.0,0.0,614,0.0,0.0,358,1.0,0,0,4.9,20771.0,22.2,0.0,2018-04-28T16:30:00Z,28 Apr 17:30,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,4.0,0,36,0,4092,2.0,0.0,0.0,1,0,25.0,6,2571,2883,312,52,False,0.0,0,,,,,,2,717
