,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,12650,0,1,0,0.0,0,0,0,0,40,False,0,2
1,1,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,12560,0,1,0,0.0,0,-1849,415,2264,40,True,0,2
2,2,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,4,0,0,0,0,3,0,9733,0,1,1,0.0,0,-2835,0,2835,40,False,0,2
3,3,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,8375,0,2,3,0.0,0,-1403,0,1403,40,True,0,2
4,4,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,2,0,0,0,0,5,0,7496,0,1,3,0.0,0,-919,0,919,40,False,0,2
5,5,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,10,0,0,0,0,6,0,7031,0,0,0,0.0,0,-483,0,483,40,True,0,2
6,6,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,14,0,0,0,0,7,0,6577,0,1,0,0.0,0,-444,0,444,40,False,0,2
7,7,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,16,0,0,0,0,8,0,6219,0,0,0,0.0,0,-354,0,354,40,True,0,2
8,8,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,5966,0,0,4,0.0,0,-282,0,282,40,False,0,2
9,9,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,18,0,0,0,0,10,0,5763,0,2,1,0.0,0,-201,0,201,40,True,0,2
10,10,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,6,0,0,0,0,11,0,5569,0,2,0,0.0,0,-195,0,195,40,False,0,2
11,11,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,5414,0,3,2,0.0,0,-151,0,151,40,True,0,2
