,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,29050,0,1,0,0.0,0,0,0,0,45,False,0,2
1,1,0,0,4,0,0.5,610,0.0,0.0,0.0,1.87,13,1,0,0.4,3.4,2023-08-19T14:00:00Z,23,4,0,0,0,0,2,0,29878,0,3,0,0.0,1,-2695,1579,4274,45,True,0,2
2,2,0,0,0,0,0.3,610,0.0,0.0,0.0,3.92,21,2,0,0.7,7.0,2023-08-26T14:00:00Z,82,1,0,0,0,1,3,0,27642,1,2,2,0.0,-2,-3067,682,3749,45,False,0,2
3,3,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,24826,0,1,5,0.0,0,-3461,574,4035,45,False,0,2
4,4,0,0,3,0,0.1,610,0.0,0.0,0.0,0.28,44,0,0,0.0,0.2,2023-09-16T14:00:00Z,1,12,0,0,0,0,5,0,24943,0,0,1,0.0,1,-974,1423,2397,45,True,0,2
5,5,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,23908,0,0,0,0.0,0,-1269,498,1767,45,False,0,2
6,6,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,21362,0,2,0,0.0,0,-2554,170,2724,45,True,0,2
7,7,0,0,7,0,0.7,610,0.0,0.0,0.0,0.02,76,0,0,0.8,5.2,2023-10-07T14:00:00Z,19,17,0,0,0,0,8,0,20188,0,1,3,2.0,1,-1365,383,1748,44,True,0,2
8,8,0,0,13,0,0.5,610,0.01,0.01,0.0,1.51,90,2,0,1.8,15.8,2023-10-23T19:00:00Z,90,18,0,0,0,0,9,0,19833,1,0,2,2.0,1,-541,462,1003,44,False,0,2
9,9,0,0,14,0,0.7,610,0.0,0.0,0.0,1.32,94,1,0,2.6,25.0,2023-10-29T14:00:00Z,90,5,0,0,0,0,10,0,19535,1,1,1,0.0,2,-373,489,862,44,False,0,2
10,10,0,0,13,0,0.6,610,0.0,0.05,0.05,0.69,104,1,0,2.3,17.2,2023-11-04T12:30:00Z,90,14,0,0,0,0,11,0,19516,1,1,0,5.0,2,-112,548,660,44,True,0,2
11,11,0,0,15,0,1.8,610,0.01,0.01,0.0,3.08,112,3,0,2.2,20.4,2023-11-12T14:00:00Z,90,2,0,0,0,0,12,0,19790,1,1,3,0.0,1,173,783,610,44,False,0,2
12,12,0,0,11,0,0.5,610,0.0,0.0,0.0,1.41,124,2,0,1.2,11.0,2023-11-27T20:00:00Z,90,20,0,0,0,0,13,0,20008,1,2,3,0.0,1,83,676,593,44,True,0,2
13,13,0,0,11,0,0.3,610,0.0,0.0,0.0,2.22,136,4,0,1.5,14.4,2023-12-03T14:00:00Z,90,11,0,0,0,0,14,0,19806,1,3,4,0.0,0,-208,313,521,44,False,0,2
14,14,0,0,27,1,1.3,610,0.02,0.02,0.0,0.29,145,0,0,1.7,13.4,2023-12-06T19:30:00Z,90,16,0,0,0,0,15,0,19901,1,0,5,2.0,6,43,405,362,44,True,0,2
15,15,0,0,30,1,0.6,610,0.01,0.01,0.0,1.39,155,0,0,2.0,19.4,2023-12-10T14:00:00Z,90,19,0,0,0,0,16,0,20285,1,0,5,0.0,6,313,592,279,44,True,0,2
16,16,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,21671,0,0,3,0.0,0,1173,1582,409,44,False,0,2
17,17,0,0,11,0,1.8,610,0.01,0.01,0.0,0.41,173,2,0,1.9,15.2,2023-12-23T15:00:00Z,90,6,0,0,0,0,18,0,22704,1,2,0,2.0,0,646,1241,595,44,True,1,2
18,18,0,0,18,0,11.7,610,0.03,0.03,0.0,1.82,182,3,0,4.3,31.4,2023-12-26T15:00:00Z,90,3,0,0,0,0,19,0,22002,1,0,3,0.0,1,-381,425,806,44,False,0,2
19,19,0,0,12,0,35.0,373,0.06,0.09,0.03,0.74,197,2,0,5.1,12.2,2023-12-30T17:30:00Z,90,16,0,0,0,0,20,0,1041788,1,1,2,4.0,2,-5686,20646,26332,82,False,0,2
20,20,0,0,10,0,52.7,373,0.1,0.16,0.06,1.68,188,2,0,8.7,24.4,2023-12-26T20:00:00Z,90,2,0,0,0,0,19,0,1043599,1,2,3,10.0,1,-26504,8650,35154,82,True,1,2
21,21,0,0,8,0,33.5,373,0.11,0.18,0.07,1.36,179,2,0,4.9,4.2,2023-12-23T12:30:00Z,90,19,0,0,0,0,18,0,1069562,1,0,2,11.0,1,-21652,17544,39196,82,False,1,2
22,22,0,0,0,0,0.0,373,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,1068295,0,0,0,0.0,0,-333330,1632,334962,83,False,0,2
