,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,10542,0,0,2,0.0,0,0,0,0,45,False,0,3,605
1,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,19,0,0,0,0,2,0,10538,0,0,1,0.0,0,-818,412,1230,45,True,0,3,605
2,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,7917,0,1,1,0.0,0,-2606,189,2795,45,False,0,3,605
3,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,6374,0,2,0,0.0,0,-1672,0,1672,45,True,0,3,605
4,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,5577,0,0,6,0.0,0,-823,0,823,45,False,0,3,605
5,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,4853,0,3,2,0.0,0,-724,0,724,45,True,0,3,605
6,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,4215,0,3,2,0.0,0,-233,0,233,45,True,0,3,605
7,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,10,0,0,0,0,9,0,4019,0,0,4,0.0,0,-278,0,278,45,False,0,3,605
8,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,3794,0,1,1,0.0,0,-234,0,234,45,True,0,3,605
9,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,3605,0,0,1,0.0,0,-190,0,190,45,False,0,3,605
10,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,3385,0,0,0,0.0,0,-154,0,154,45,False,0,3,605
11,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,3380,0,0,1,0.0,0,-80,0,80,45,True,0,3,605
12,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,3268,0,0,5,0.0,0,-111,0,111,45,False,0,3,605
13,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,3165,0,2,2,0.0,0,-106,0,106,45,True,0,3,605
