assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,33.0,1.0,0.0,3,33,0,0.0,26.0,29.6,1.0,0.0,239,0.0,0.0,5,0.0,1,1,14.3,239.0,32.6,2.0,2016-08-13T16:30:00Z,13 Aug 17:30,0.0,0.0,90,1.0,0.0,15,0,0.0,0,0,2.0,0,1,0,1380299,2.0,0.0,2.0,1,2,81.0,9,0,0,0,130,True,0.0,0
0,21.0,0.0,0.0,3,57,0,1.0,17.0,13.3,2.0,0.0,239,0.0,0.0,14,0.0,1,2,16.7,764.0,76.8,1.0,2016-08-20T11:30:00Z,20 Aug 12:30,0.0,0.0,82,0.0,0.0,14,0,0.0,0,0,1.0,0,2,0,1634994,3.0,0.0,0.0,4,1,77.0,13,63510,75648,12138,130,False,1.0,0
0,27.0,1.0,0.0,0,6,0,0.0,21.0,17.5,4.0,0.0,239,0.0,0.0,29,0.0,1,0,5.2,1304.0,0.0,1.0,2016-08-28T15:00:00Z,28 Aug 16:00,0.0,0.0,87,2.0,0.0,20,0,0.0,0,0,2.0,0,3,0,1943851,2.0,0.0,4.0,1,3,36.0,2,204625,213510,8885,131,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,35,0.0,0,0,0.0,1854.0,0.0,0.0,2016-09-10T11:30:00Z,10 Sep 12:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,4,0,1015145,0.0,0.0,0.0,2,1,0.0,0,-952929,32042,984971,130,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,45,0.0,0,0,0.0,2435.0,0.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,5,0,864663,0.0,0.0,0.0,0,4,0.0,0,-156373,11435,167808,130,True,0.0,0
0,29.0,0.0,0.0,3,57,0,2.0,26.0,28.4,2.0,0.0,239,0.0,0.0,58,0.0,1,2,17.3,3019.0,71.2,2.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,4.0,0,6,0,1290967,5.0,0.0,1.0,3,1,73.0,13,411962,449004,37042,130,False,1.0,0
0,15.0,0.0,0.0,0,3,0,0.0,12.0,1.6,4.0,0.0,239,0.0,0.0,68,0.0,2,0,10.8,3605.0,15.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,2.0,0.0,17,0,0.0,0,0,3.0,0,7,0,1660629,5.0,0.0,1.0,0,2,91.0,2,347343,355709,8366,130,False,0.0,0
0,11.0,0.0,0.0,0,-7,0,0.0,10.0,1.9,0.0,0.0,239,0.0,0.0,76,1.0,1,0,4.3,4194.0,5.4,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,35,0.0,0.0,6,0,0.0,1,0,0.0,0,8,0,1804232,3.0,0.0,0.0,1,1,36.0,-1,126222,144256,18034,131,True,0.0,0
0,26.0,0.0,0.0,0,-6,0,0.0,23.0,6.3,7.0,0.0,239,0.0,0.0,88,2.0,1,0,2.4,4786.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,90,1.0,0.0,13,0,0.0,0,0,1.0,0,9,0,1789342,10.0,0.0,3.0,1,1,19.0,1,-21770,39929,61699,131,True,0.0,1
1,40.0,0.0,0.0,3,77,1,0.0,34.0,34.4,8.0,0.0,239,0.0,0.0,100,0.0,0,2,18.5,5380.0,79.6,2.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,1.0,0.0,19,0,0.0,0,0,3.0,0,10,0,1713282,4.0,1.0,1.0,4,0,71.0,16,-81140,15068,96208,130,False,1.0,0
0,18.0,0.0,1.0,1,23,1,0.0,15.0,34.9,5.0,0.0,239,0.0,0.0,108,2.0,0,1,21.5,5978.0,44.6,3.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,89,1.0,0.0,12,0,0.0,0,0,2.0,0,11,0,1892654,4.0,0.0,2.0,1,1,135.0,6,166510,172324,5814,131,True,0.0,1
0,21.0,0.0,0.0,0,4,0,1.0,17.0,6.4,1.0,0.0,239,0.0,0.0,111,2.0,1,0,5.7,6577.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,85,1.0,0.0,5,0,0.0,0,0,3.0,0,12,0,1932218,1.0,1.0,2.0,2,1,52.0,2,25985,54258,28273,132,False,0.0,0
0,29.0,0.0,0.0,3,47,0,0.0,23.0,15.1,0.0,0.0,239,0.0,0.0,122,2.0,1,2,21.1,7178.0,69.2,1.0,2016-11-26T12:30:00Z,26 Nov 12:30,0.0,0.0,88,3.0,0.0,3,0,0.0,0,0,3.0,0,13,0,1805351,3.0,0.0,1.0,2,1,127.0,12,-131089,8556,139645,131,False,1.0,1
0,22.0,0.0,2.0,0,-10,0,1.0,18.0,3.8,1.0,0.0,239,0.0,0.0,134,1.0,3,0,8.6,7782.0,0.0,0.0,2016-12-03T12:30:00Z,03 Dec 12:30,0.0,0.0,90,1.0,0.0,4,0,0.0,0,0,4.0,1,14,0,1841687,1.0,1.0,2.0,3,1,83.0,-1,28775,55067,26292,131,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,145,0.0,0,0,0.0,8387.0,0.0,0.0,2016-12-10T17:30:00Z,10 Dec 17:30,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,15,0,886791,0.0,0.0,0.0,2,4,0.0,0,-956068,1311,957379,129,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,157,0.0,0,0,0.0,8997.0,0.0,0.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,16,0,806454,0.0,0.0,0.0,0,2,0.0,0,-80881,421,81302,129,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,164,0.0,0,0,0.0,9611.0,0.0,0.0,2016-12-18T16:00:00Z,18 Dec 16:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,17,0,764640,0.0,0.0,0.0,1,2,0.0,0,-42300,468,42768,128,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,174,0.0,0,0,0.0,10227.0,0.0,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,18,0,737595,0.0,0.0,0.0,3,0,0.0,0,-28241,4190,32431,128,False,0.0,0
0,19.0,0.0,0.0,0,1,0,0.0,15.0,4.9,2.0,0.0,239,0.0,0.0,186,1.0,1,0,1.4,10845.0,1.0,0.0,2016-12-31T17:30:00Z,31 Dec 17:30,0.0,0.0,90,2.0,0.0,9,0,0.0,0,0,5.0,0,19,0,786816,4.0,0.0,1.0,0,1,8.0,2,47407,54158,6751,128,False,0.0,0
0,11.0,0.0,0.0,2,25,0,0.0,10.0,1.1,2.0,0.0,239,0.0,0.0,194,1.0,1,1,7.8,11467.0,35.6,0.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,45,0.0,0.0,3,0,0.0,0,0,5.0,0,20,0,916505,5.0,0.0,2.0,1,2,41.0,7,127142,135341,8199,128,True,1.0,0
0,40.0,0.0,0.0,0,3,0,0.0,31.0,13.4,3.0,0.0,239,0.0,0.0,202,1.0,4,0,4.8,12091.0,4.2,0.0,2017-01-15T13:30:00Z,15 Jan 13:30,0.0,0.0,90,2.0,0.0,6,0,0.0,0,0,4.0,0,21,0,969330,5.0,0.0,1.0,0,4,30.0,2,48341,83851,35510,128,False,0.0,0
0,21.0,0.0,1.0,0,6,0,0.0,15.0,13.1,5.0,0.0,239,0.0,0.0,216,0.0,2,0,7.5,12722.0,14.0,1.0,2017-01-21T17:30:00Z,21 Jan 17:30,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,7.0,0,22,0,908960,3.0,0.0,1.0,2,2,48.0,2,-62249,9533,71782,128,True,0.0,0
0,9.0,0.0,0.0,0,1,0,0.0,7.0,5.3,1.0,0.0,239,0.0,0.0,227,2.0,0,0,1.1,13356.0,1.6,0.0,2017-02-01T19:45:00Z,01 Feb 19:45,0.0,0.0,18,1.0,1.0,20,0,0.0,0,0,1.0,0,23,0,863301,1.0,0.0,0.0,4,0,4.0,1,-47242,7269,54511,128,False,0.0,0
0,2.0,0.0,1.0,0,-1,0,0.0,2.0,1.1,2.0,0.0,239,0.0,0.0,236,1.0,0,0,2.2,13999.0,0.0,0.0,2017-02-05T13:30:00Z,05 Feb 13:30,0.0,0.0,8,0.0,0.0,16,0,0.0,0,0,1.0,0,24,0,835730,1.0,0.0,1.0,1,2,22.0,1,-28269,11181,39450,128,True,0.0,0
1,18.0,0.0,2.0,0,10,1,0.0,14.0,15.3,4.0,0.0,239,0.0,0.0,242,1.0,0,0,7.5,14648.0,5.8,1.0,2017-02-13T20:00:00Z,13 Feb 20:00,0.0,0.0,76,0.0,0.0,2,0,0.0,0,0,4.0,0,25,0,747704,2.0,0.0,2.0,2,0,54.0,5,-88908,1185,90093,127,False,0.0,0
0,34.0,0.0,0.0,1,33,1,0.0,30.0,8.8,1.0,0.0,239,0.0,0.0,265,0.0,0,1,15.4,15847.0,44.2,0.0,2017-03-05T16:00:00Z,05 Mar 16:00,0.0,0.0,90,1.0,0.0,15,0,0.0,0,0,1.0,0,27,0,1116059,6.0,1.0,0.0,2,0,101.0,7,373845,377928,4083,128,False,1.0,0
0,20.0,0.0,0.0,0,6,1,0.0,13.0,2.3,4.0,0.0,239,0.0,0.0,277,0.0,0,0,3.0,15848.0,1.8,0.0,2017-03-08T20:00:00Z,08 Mar 20:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,3.0,0,27,0,1116059,4.0,0.0,1.0,0,0,26.0,2,373845,377928,4083,128,True,0.0,0
0,20.0,0.0,1.0,0,17,0,0.0,18.0,18.3,2.0,0.0,239,0.0,0.0,284,0.0,1,1,11.3,16795.0,32.0,1.0,2017-03-19T16:30:00Z,19 Mar 16:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,2.0,0,29,0,959730,10.0,0.0,3.0,1,1,63.0,6,13341,49691,36350,127,True,0.0,0
0,38.0,0.0,1.0,1,31,0,0.0,33.0,27.4,3.0,0.0,239,0.0,0.0,291,1.0,2,1,13.7,17449.0,47.0,2.0,2017-04-02T15:00:00Z,02 Apr 16:00,0.0,0.0,90,2.0,0.0,1,0,0.0,0,0,2.0,0,30,0,968170,5.0,2.0,1.0,2,2,63.0,7,6351,32549,26198,127,False,0.0,0
0,28.0,0.0,0.0,2,26,0,0.0,26.0,18.5,2.0,0.0,239,0.0,0.0,308,1.0,2,1,14.9,18106.0,41.4,1.0,2017-04-05T19:00:00Z,05 Apr 20:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,1.0,0,31,0,964140,5.0,0.0,1.0,1,2,89.0,8,-4706,15351,20057,127,False,0.0,0
0,37.0,0.0,0.0,3,37,0,0.0,32.0,53.5,1.0,0.0,239,0.0,0.0,314,0.0,1,1,13.7,18767.0,37.2,4.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,1.0,0,32,0,1052003,2.0,0.0,3.0,1,3,46.0,9,86565,90834,4269,128,True,1.0,0
0,33.0,0.0,0.0,0,22,1,0.0,22.0,6.4,1.0,0.0,239,0.0,0.0,325,1.0,0,1,10.5,19429.0,28.2,0.0,2017-04-15T16:30:00Z,15 Apr 17:30,0.0,0.0,88,0.0,0.0,13,0,0.0,0,0,3.0,0,33,0,1030405,8.0,1.0,3.0,3,0,70.0,6,-22951,17806,40757,128,False,0.0,0
0,40.0,0.0,1.0,0,3,1,1.0,33.0,20.0,3.0,0.0,239,0.0,0.0,256,0.0,0,0,10.7,20117.0,6.0,1.0,2017-04-27T19:00:00Z,27 Apr 20:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,1.0,0,34,0,986675,5.0,1.0,5.0,0,0,81.0,2,-44779,14651,59430,128,True,0.0,0
1,37.0,2.0,0.0,3,49,0,0.0,33.0,42.4,0.0,0.0,239,0.0,0.0,344,0.0,2,1,17.2,20832.0,56.2,3.0,2017-04-30T13:05:00Z,30 Apr 14:05,0.0,0.0,90,1.0,1.0,12,0,0.0,0,0,1.0,0,35,0,1018186,4.0,1.0,1.0,2,2,73.0,12,30488,54240,23752,128,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,239,0.0,0.0,358,0.0,0,0,0.0,21527.0,0.0,0.0,2017-05-06T11:30:00Z,06 May 12:30,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,36,0,871781,0.0,0.0,0.0,0,5,0.0,0,-146886,7464,154350,128,True,0.0,0
0,6.0,0.0,0.0,0,-1,0,0.0,4.0,0.7,2.0,0.0,239,0.0,0.0,364,1.0,0,0,0.5,22338.0,0.0,0.0,2017-05-13T11:30:00Z,13 May 12:30,0.0,0.0,13,0.0,0.0,8,0,0.0,0,0,0.0,0,37,0,791431,2.0,0.0,0.0,1,2,4.0,0,-80566,4614,85180,127,True,0.0,1
1,38.0,2.0,0.0,1,32,0,0.0,33.0,34.5,4.0,0.0,239,0.0,0.0,338,0.0,1,0,9.5,22337.0,27.4,2.0,2017-05-16T19:00:00Z,16 May 20:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,4.0,0,37,0,791431,1.0,1.0,1.0,1,3,33.0,6,-80566,4614,85180,127,True,0.0,0
1,25.0,1.0,3.0,3,56,1,0.0,21.0,38.0,4.0,0.0,239,0.0,0.0,380,2.0,0,2,24.8,23244.0,93.8,3.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,70,0.0,1.0,18,0,0.0,0,0,2.0,0,38,0,793360,4.0,0.0,3.0,5,0,116.0,16,1207,13975,12768,127,False,0.0,0
0,19.0,1.0,1.0,3,33,1,0.0,13.0,28.8,1.0,0.0,257,0.0,0.0,2,1.0,0,1,9.6,257.0,38.2,2.0,2017-08-12T16:30:00Z,12 Aug 17:30,0.0,0.0,82,0.0,1.0,3,0,0.0,0,0,2.0,0,1,0,439441,2.0,0.0,1.0,2,0,29.0,9,0,0,0,115,False,1.0,0
0,30.0,1.0,0.0,0,10,0,0.0,21.0,53.2,0.0,0.0,257,0.0,0.0,20,1.0,1,0,9.5,768.0,10.2,4.0,2017-08-21T19:00:00Z,21 Aug 20:00,0.0,0.0,90,0.0,2.0,7,0,0.0,0,0,0.0,0,2,0,543214,5.0,0.0,1.0,1,1,32.0,2,14866,39936,25070,115,True,0.0,0
0,6.0,0.0,0.0,0,3,0,0.0,6.0,2.3,1.0,0.0,257,0.0,0.0,21,0.0,0,0,2.3,1284.0,2.4,0.0,2017-08-26T11:30:00Z,26 Aug 12:30,0.0,0.0,24,0.0,0.0,2,0,0.0,0,0,1.0,0,3,0,600066,0.0,0.0,1.0,2,1,18.0,1,28625,70251,41626,115,False,0.0,0
1,20.0,1.0,1.0,0,38,1,2.0,20.0,36.8,1.0,0.0,257,0.0,0.0,35,1.0,0,1,16.4,1815.0,63.0,3.0,2017-09-09T11:30:00Z,09 Sep 12:30,0.0,0.0,90,1.0,0.0,10,0,0.0,0,0,2.0,0,4,0,477257,6.0,0.0,1.0,0,5,64.0,9,-135729,11002,146731,115,True,1.0,0
1,28.0,1.0,0.0,3,96,1,2.0,24.0,38.9,1.0,0.0,257,0.0,0.0,47,0.0,0,3,26.3,2359.0,122.0,3.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,4.0,0,5,0,502186,0.0,0.0,3.0,6,0,102.0,20,13388,38885,25497,114,False,1.0,0
1,24.0,2.0,2.0,2,39,1,0.0,17.0,27.1,3.0,0.0,257,0.0,0.0,54,0.0,0,1,15.9,2905.0,53.6,2.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,3.0,0,6,0,1322677,3.0,0.0,3.0,0,5,78.0,11,773016,784640,11624,117,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,257,0.0,0.0,62,0.0,0,0,0.0,3455.0,0.0,0.0,2017-09-30T16:30:00Z,30 Sep 17:30,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,7,0,579849,0.0,0.0,0.0,1,0,0.0,0,-757578,118123,875701,116,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,257,0.0,0.0,76,0.0,0,0,0.0,4009.0,0.0,0.0,2017-10-14T14:00:00Z,14 Oct 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,8,0,351363,0.0,0.0,0.0,2,7,0.0,0,-230364,19159,249523,115,True,0.0,0
0,21.0,0.0,0.0,1,30,1,0.0,15.0,3.6,1.0,0.0,257,0.0,0.0,84,1.0,0,1,9.9,4566.0,38.6,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,75,0.0,0.0,4,0,0.0,0,0,4.0,0,9,0,495429,3.0,0.0,1.0,0,3,57.0,7,137992,156475,18483,115,True,1.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,257,0.0,0.0,100,0.0,0,0,0.0,5125.0,0.0,0.0,2017-10-28T14:00:00Z,28 Oct 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,10,0,1223783,0.0,0.0,0.0,3,2,0.0,0,713388,735568,22180,118,False,0.0,0
0,24.0,0.0,0.0,2,34,1,2.0,23.0,10.8,2.0,0.0,257,0.0,0.0,110,0.0,0,1,7.5,5688.0,39.0,0.0,2017-11-05T14:15:00Z,05 Nov 14:15,0.0,0.0,61,0.0,0.0,1,0,0.0,0,0,5.0,0,11,0,1168529,2.0,0.0,1.0,1,3,25.0,8,-63418,101742,165160,118,True,1.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,257,0.0,0.0,116,0.0,0,0,0.0,6254.0,0.0,0.0,2017-11-18T15:00:00Z,18 Nov 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,12,0,1191295,0.0,0.0,0.0,2,0,0.0,0,10173,118310,108137,118,False,0.0,0
0,29.0,0.0,2.0,2,26,0,0.0,24.0,19.6,2.0,0.0,257,0.0,0.0,122,0.0,1,1,12.3,6823.0,42.2,1.0,2017-11-26T16:00:00Z,26 Nov 16:00,0.0,0.0,85,1.0,0.0,8,0,0.0,0,0,0.0,0,13,0,1024260,1.0,1.0,1.0,2,1,61.0,8,-170842,24571,195413,117,False,0.0,0
0,21.0,1.0,1.0,0,7,0,1.0,16.0,32.3,2.0,0.0,257,0.0,0.0,139,2.0,1,0,10.6,7393.0,8.8,2.0,2017-11-29T20:00:00Z,29 Nov 20:00,0.0,0.0,90,1.0,1.0,14,0,0.0,0,0,2.0,0,14,0,1035800,0.0,0.0,1.0,1,2,65.0,2,7491,78042,70551,117,True,0.0,0
0,27.0,0.0,0.0,0,3,0,1.0,23.0,16.2,0.0,0.0,257,0.0,0.0,147,0.0,1,0,5.3,7964.0,2.6,1.0,2017-12-03T16:00:00Z,03 Dec 16:00,0.0,0.0,84,1.0,0.0,20,0,0.0,0,0,1.0,0,15,0,1077926,3.0,0.0,0.0,1,2,34.0,2,37529,84337,46808,117,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,257,0.0,0.0,155,0.0,0,0,0.0,8538.0,0.0,0.0,2017-12-10T16:30:00Z,10 Dec 16:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,16,0,952448,0.0,0.0,0.0,2,1,0.0,0,-129533,23323,152856,116,False,0.0,0
0,39.0,1.0,1.0,0,30,1,0.0,33.0,19.3,4.0,0.0,257,0.0,0.0,165,0.0,0,1,13.7,9115.0,37.4,1.0,2017-12-13T19:45:00Z,13 Dec 19:45,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,2.0,0,17,0,934583,4.0,0.0,5.0,4,0,80.0,6,-20230,74434,94664,116,False,0.0,0
0,14.0,0.0,0.0,0,0,0,0.0,10.0,2.6,1.0,0.0,257,0.0,0.0,177,0.0,0,0,6.2,9693.0,1.0,0.0,2017-12-16T17:30:00Z,16 Dec 17:30,0.0,0.0,57,2.0,0.0,17,0,0.0,0,0,0.0,0,18,0,904472,2.0,1.0,2.0,1,4,58.0,1,-32605,36162,68767,116,True,0.0,0
1,32.0,1.0,0.0,3,76,1,0.0,30.0,18.5,3.0,0.0,257,0.0,0.0,186,0.0,0,2,15.0,10273.0,87.0,1.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,90,2.0,0.0,2,0,0.0,0,0,4.0,0,19,0,941575,3.0,1.0,1.0,0,4,44.0,16,32411,114416,82005,115,True,1.0,0
0,38.0,0.0,2.0,0,4,1,0.0,29.0,26.8,5.0,0.0,257,0.0,0.0,197,1.0,0,0,10.3,10858.0,5.8,2.0,2017-12-27T19:45:00Z,27 Dec 19:45,0.0,0.0,76,2.0,0.0,13,0,0.0,0,0,5.0,0,20,0,996718,0.0,0.0,3.0,1,0,70.0,2,49763,94678,44915,115,False,0.0,0
0,14.0,0.0,0.0,0,-1,1,0.0,6.0,0.7,2.0,0.0,257,0.0,0.0,203,1.0,0,0,4.1,11444.0,1.4,0.0,2017-12-31T12:00:00Z,31 Dec 12:00,0.0,0.0,67,1.0,0.0,6,0,0.0,0,0,0.0,0,21,0,1074383,3.0,0.0,1.0,0,0,39.0,1,73005,145857,72852,116,False,0.0,1
0,30.0,0.0,1.0,0,27,0,0.0,27.0,8.8,3.0,0.0,257,0.0,0.0,216,0.0,1,1,16.4,11970.0,42.4,0.0,2018-01-02T20:00:00Z,02 Jan 20:00,0.0,0.0,90,1.0,1.0,18,0,0.0,0,0,2.0,0,22,0,1195698,8.0,0.0,1.0,1,3,113.0,6,118357,214155,95798,116,True,0.0,0
1,34.0,0.0,0.0,0,15,0,0.0,31.0,41.3,3.0,0.0,257,0.0,0.0,225,1.0,4,0,9.1,12622.0,24.6,3.0,2018-01-14T16:00:00Z,14 Jan 16:00,0.0,0.0,90,1.0,1.0,10,0,0.0,0,0,2.0,0,23,0,1289928,10.0,0.0,1.0,3,4,25.0,5,85279,191413,106134,117,False,0.0,0
0,41.0,0.0,0.0,3,94,0,0.0,37.0,37.0,5.0,0.0,257,0.0,0.0,236,0.0,1,3,30.1,13220.0,111.6,3.0,2018-01-20T17:30:00Z,20 Jan 17:30,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,6.0,0,24,0,1346689,1.0,0.0,2.0,1,3,152.0,17,52188,126162,73974,117,True,1.0,0
0,29.0,0.0,1.0,0,27,1,0.0,24.0,18.3,2.0,0.0,257,0.0,0.0,246,0.0,0,1,9.8,13823.0,41.6,1.0,2018-01-31T20:00:00Z,31 Jan 20:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,2.0,0,25,0,1653174,3.0,0.0,0.0,0,3,38.0,6,295394,310908,15514,119,True,0.0,0
0,29.0,1.0,0.0,0,14,0,0.0,23.0,36.4,1.0,0.0,257,0.0,0.0,254,0.0,1,0,11.5,14436.0,13.4,3.0,2018-02-03T12:30:00Z,03 Feb 12:30,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,1.0,0,26,0,1714874,1.0,1.0,0.0,1,1,65.0,2,57155,89367,32212,119,False,0.0,0
0,20.0,0.0,0.0,3,102,0,1.0,17.0,14.6,4.0,0.0,257,0.0,0.0,264,0.0,1,4,27.2,15061.0,137.0,1.0,2018-02-10T17:30:00Z,10 Feb 17:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,5.0,0,27,0,1681474,7.0,0.0,2.0,1,5,120.0,21,-39600,46517,86117,119,True,1.0,0
1,35.0,1.0,1.0,0,21,1,0.0,28.0,17.7,5.0,0.0,257,0.0,0.0,271,1.0,0,0,10.9,15688.0,27.2,1.0,2018-03-01T19:45:00Z,01 Mar 19:45,0.0,0.0,81,1.0,0.0,1,0,0.0,0,0,3.0,0,28,0,1696285,4.0,1.0,1.0,3,0,64.0,5,2969,142734,139765,120,False,0.0,0
