assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,7,0.0,0,0,0.0,311.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,1,0,17749,0.0,0.0,0.0,1,1,0.0,0,0,0,0,65,True,0.0,0,,,,,
0,2.0,0.0,0.0,0,3,0,0.0,1.0,0.3,0.0,0.0,311,0.0,0.0,11,0.0,0,0,0.2,836.0,0.0,0.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,7,0.0,0.0,11,0,0.0,0,0,0.0,0,2,0,15145,0.0,0.0,0.0,0,2,2.0,1,-3265,109,3374,65,False,0.0,0,,,,,
0,4.0,0.0,0.0,2,19,0,0.0,4.0,1.5,0.0,0.0,311,0.0,0.0,26,1.0,1,1,5.3,1376.0,35.2,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,17,0.0,0.0,15,0,0.0,0,0,1.0,0,3,0,13250,1.0,0.0,0.0,1,1,16.0,8,-2192,234,2426,64,True,0.0,0,,,,,
0,13.0,0.0,0.0,0,1,0,1.0,8.0,2.9,0.0,0.0,311,0.0,0.0,31,1.0,1,0,0.8,1926.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,45,0.0,0.0,1,0,0.0,0,0,1.0,0,4,0,15012,2.0,1.0,1.0,1,2,6.0,1,1001,2426,1425,64,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,48,0.0,0,0,0.0,2507.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,5,0,14448,0.0,0.0,0.0,0,1,0.0,0,-764,665,1429,64,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,59,0.0,0,0,0.0,3091.0,0.0,0.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,6,0,11211,0.0,0.0,0.0,3,0,0.0,0,-3275,62,3337,64,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,64,0.0,0,0,0.0,3677.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,9406,0.0,0.0,0.0,0,0,0.0,0,-1813,17,1830,63,False,0.0,0,,,,,
0,16.0,0.0,1.0,0,0,0,0.0,12.0,14.8,0.0,0.0,311,0.0,0.0,78,1.0,1,0,4.5,4266.0,4.8,1.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,20,0.0,0.0,3,0,0.0,0,0,0.0,0,8,0,8552,0.0,0.0,0.0,1,3,25.0,1,-867,24,891,63,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,88,0.0,0,0,0.0,4858.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,9,0,8389,0.0,0.0,0.0,1,1,0.0,0,-189,48,237,63,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,95,0.0,0,0,0.0,5452.0,0.0,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,8083,0.0,0.0,0.0,2,0,0.0,0,-345,37,382,63,True,0.0,0,,,,,
0,5.0,0.0,0.0,0,3,0,1.0,3.0,0.6,0.0,0.0,311,0.0,0.0,105,0.0,0,0,2.9,6050.0,2.4,0.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,14,0.0,0.0,7,0,0.0,0,0,0.0,0,11,0,7642,0.0,0.0,0.0,1,2,26.0,1,-445,17,462,63,False,0.0,0,,,,,
0,8.0,0.0,0.0,0,5,0,0.0,3.0,0.5,1.0,0.0,311,0.0,0.0,115,0.0,0,0,0.2,6649.0,1.2,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,16,0.0,0.0,9,0,0.0,0,0,3.0,0,12,0,7580,0.0,0.0,0.0,0,0,0.0,1,-112,43,155,63,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,311,0.0,0.0,128,0.0,0,0,0.0,7250.0,0.0,0.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,13,0,7549,0.0,0.0,0.0,0,1,0.0,0,-50,38,88,63,True,0.0,0,,,,,
