assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,322,0.0,0,0,0.0,18870.0,0.0,0.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,33,0,0,0.0,0.0,0.0,2,2,0.0,0,0,0,0,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,332,0.0,0,0,0.0,19743.0,0.0,0.0,2018-04-14T14:00:00Z,14 Apr 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,34,0,2765,0.0,0.0,0.0,2,3,0.0,0,1789,2362,573,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,349,0.0,0,0,0.0,20154.0,0.0,0.0,2018-04-21T14:00:00Z,21 Apr 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,35,0,2725,0.0,0.0,0.0,0,0,0.0,0,135,753,618,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,352,0.0,0,0,0.0,20795.0,0.0,0.0,2018-04-28T14:00:00Z,28 Apr 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,36,0,2589,0.0,0.0,0.0,0,5,0.0,0,282,721,439,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,368,0.0,0,0,0.0,21810.0,0.0,0.0,2018-05-05T11:30:00Z,05 May 12:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,37,0,3571,0.0,0.0,0.0,2,1,0.0,0,704,1210,506,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,638,0.0,0.0,372,0.0,0,0,0.0,22459.0,0.0,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,38,0,4098,0.0,0.0,0.0,0,2,0.0,0,492,1167,675,45,True,0.0,0
0,,,,0,0,0,,,0.0,,,581,,,176,,0,0,0.0,,0.0,,2019-12-21T15:00:00Z,,,,0,,,13,0,,0,0,,0,18,0,0,,,,0,1,0.0,0,0,0,0,45,False,,0
0,,,,0,0,0,,,0.0,,,581,,,184,,0,0,0.0,,0.0,,2019-12-26T15:00:00Z,,,,0,,,19,0,,0,0,,0,19,0,226,,,,1,2,0.0,0,128,156,28,45,True,,0
0,,,,0,0,0,,,0.0,,,581,,,198,,0,0,0.0,,0.0,,2019-12-28T15:00:00Z,,,,0,,,16,0,,0,0,,0,20,0,392,,,,1,1,0.0,0,91,151,60,45,False,,0
0,,,,0,0,0,,,0.0,,,581,,,207,,0,0,0.0,,0.0,,2020-01-01T17:30:00Z,,,,0,,,14,0,,0,0,,0,21,0,536,,,,1,1,0.0,0,46,138,92,45,False,,0
