assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,7,0.0,0,0,0.0,295.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,1,0,389,0.0,0.0,0.0,1,1,0.0,0,0,0,0,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,11,0.0,0,0,0.0,820.0,0.0,0.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,2,0,367,0.0,0.0,0.0,0,2,0.0,0,-48,5,53,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,26,0.0,0,0,0.0,1360.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,3,0,342,0.0,0.0,0.0,1,1,0.0,0,-37,8,45,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,31,0.0,0,0,0.0,1910.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,4,0,316,0.0,0.0,0.0,1,2,0.0,0,-31,9,40,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,48,0.0,0,0,0.0,2491.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,5,0,310,0.0,0.0,0.0,0,1,0.0,0,-10,3,13,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,59,0.0,0,0,0.0,3075.0,0.0,0.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,6,0,296,0.0,0.0,0.0,3,0,0.0,0,-17,1,18,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,64,0.0,0,0,0.0,3661.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,295,0.0,0.0,0.0,0,0,0.0,0,-3,2,5,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,78,0.0,0,0,0.0,4250.0,0.0,0.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,8,0,289,0.0,0.0,0.0,1,3,0.0,0,-7,5,12,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,88,0.0,0,0,0.0,4842.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,9,0,286,0.0,0.0,0.0,1,1,0.0,0,-4,4,8,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,95,0.0,0,0,0.0,5436.0,0.0,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,288,0.0,0.0,0.0,2,0,0.0,0,0,3,3,45,True,0.0,0
