assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,359,0,0,3,0,0,0,0.0,359,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,17,0,0,0,0,0,0,1,0,284605,0,0,0,1,1,0.0,0,0,0,0,50,True,0,0
0,3,0,0,0,5,0,1,1,0.0,0,0,359,0,0,18,0,0,0,0.2,884,2.2,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,10,0,0,19,0,0,0,0,0,0,2,0,274447,0,1,0,2,1,0.0,1,-19712,6262,25974,50,False,0,0
0,52,0,0,0,29,1,8,41,10.2,0,0,359,0,0,23,1,0,0,6.5,1424,20.4,1,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,90,0,0,14,0,0,0,0,5,0,3,0,270267,0,2,0,0,1,34.0,6,-8664,9139,17803,50,True,0,0
0,74,0,0,0,28,1,10,69,0.3,0,0,359,0,0,40,1,0,0,4.1,1974,35.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,90,0,0,15,0,0,0,0,3,0,4,0,294106,0,0,1,3,0,6.0,6,18279,34981,16702,50,False,0,0
0,60,0,0,0,21,0,7,57,0.3,0,0,359,0,0,42,1,1,0,2.6,2555,23.6,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,90,0,0,12,0,0,0,0,4,0,5,0,318764,0,3,0,1,3,2.0,2,21196,27751,6555,50,True,0,0
0,39,0,0,0,14,0,11,27,0.4,1,0,359,0,0,52,0,1,0,3.6,3139,29.2,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,1,0,2,0,0,0,0,6,0,6,0,357465,0,1,1,0,1,6.0,2,34042,48258,14216,50,False,0,0
0,32,0,0,0,13,0,11,20,0.6,0,0,359,0,0,62,0,1,0,4.8,3725,25.8,0,2016-09-30T19:00:00Z,30 Sep 20:00,0,0,90,0,0,5,0,0,0,0,1,0,7,0,374546,0,1,0,1,1,22.0,2,14046,24249,10203,50,True,0,0
0,25,0,0,0,11,0,17,16,0.1,0,0,359,0,0,76,1,1,0,3.0,4314,30.2,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,0,0,10,0,0,0,0,5,0,8,0,365209,0,0,0,1,1,0.0,1,-11143,5296,16439,51,False,0,1
0,55,0,0,0,16,0,10,50,11.1,0,0,359,0,0,83,3,2,0,5.9,4906,27.0,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,3,0,0,0,0,3,0,9,0,367829,0,0,0,1,2,21.0,1,1522,8921,7399,51,False,0,0
0,41,0,0,1,28,1,10,38,0.5,0,0,359,0,1,92,2,0,0,1.7,5500,16.4,0,2016-10-30T13:30:00Z,30 Oct 13:30,0,0,90,0,0,20,0,0,0,0,6,0,10,0,357724,0,0,0,0,2,0.0,7,-10820,2836,13656,51,True,0,0
0,50,0,0,0,14,0,7,40,0.9,0,0,359,0,0,104,2,5,0,2.5,6098,21.8,0,2016-11-05T17:30:00Z,05 Nov 17:30,0,0,90,1,0,4,0,0,0,0,5,0,11,0,353951,1,2,0,0,5,2.0,0,-4963,6432,11395,51,False,0,0
0,81,0,0,0,11,0,7,65,0.8,0,0,359,0,0,112,2,1,0,2.1,6697,15.8,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,90,0,0,16,0,0,0,0,5,0,12,0,352733,0,0,1,1,1,4.0,2,-2701,8420,11121,51,True,0,0
